CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,CodingScore,PlacementStatus
6.99,1,2,0,86,3.78,No,Yes,64,70,9,NotPlaced
8.25,2,3,2,79,4.73,Yes,Yes,67,80,20,Placed
7.0,1,2,0,77,4.5,Yes,No,70,73,15,NotPlaced
7.73,1,3,0,76,4.8,No,Yes,73,68,13,NotPlaced
7.8,0,0,2,73,4.13,No,Yes,58,69,14,NotPlaced
7.48,0,3,0,78,4.48,No,No,74,72,7,NotPlaced
8.26,0,3,2,77,4.4,No,No,68,73,8,NotPlaced
7.0,1,1,2,74,4.37,No,No,68,67,17,NotPlaced
6.89,1,2,3,78,4.31,Yes,Yes,71,66,8,NotPlaced
8.34,1,3,2,88,4.8,Yes,Yes,78,73,21,Placed
7.78,1,2,2,82,4.48,No,No,69,70,13,NotPlaced
8.38,1,1,2,85,4.34,Yes,Yes,78,71,28,Placed
8.73,1,2,0,86,4.79,Yes,Yes,71,78,21,Placed
7.11,2,2,2,80,3.99,No,Yes,68,69,11,NotPlaced
6.62,1,0,2,80,4.8,No,No,72,79,3,NotPlaced
7.2,1,3,2,71,4.57,No,No,64,77,11,NotPlaced
7.46,1,3,2,76,3.55,No,No,61,74,10,NotPlaced
8.38,1,3,2,81,4.17,Yes,Yes,74,87,22,Placed
7.99,2,3,0,75,4.65,Yes,Yes,72,76,20,Placed
6.89,1,0,1,77,4.63,Yes,Yes,62,75,15,NotPlaced
7.95,1,3,2,85,4.33,Yes,Yes,73,79,28,Placed
7.5,2,1,1,77,3.53,No,Yes,69,70,10,NotPlaced
7.1,2,1,0,78,4.06,No,Yes,68,73,10,NotPlaced
7.64,1,2,1,80,4.52,No,No,58,68,6,NotPlaced
6.85,2,1,2,69,3.93,No,Yes,73,66,6,NotPlaced
7.28,0,2,2,83,3.54,No,No,65,66,12,NotPlaced
8.17,2,2,2,86,4.8,Yes,No,74,78,19,Placed
8.45,1,2,0,82,4.56,Yes,Yes,83,74,22,Placed
7.54,1,3,0,81,4.52,Yes,No,64,71,10,NotPlaced
7.42,0,2,2,77,3.72,No,No,67,70,7,NotPlaced
7.7,0,2,0,73,4.3,No,No,63,74,6,NotPlaced
6.86,1,3,2,82,4.04,No,Yes,63,76,5,NotPlaced
7.71,1,2,2,83,4.34,No,No,68,72,14,NotPlaced
8.19,1,2,1,75,4.06,No,No,62,74,15,NotPlaced
7.99,1,1,0,69,4.67,No,No,68,72,7,NotPlaced
8.0,1,3,1,88,4.46,Yes,Yes,70,77,19,Placed
7.35,1,3,2,73,3.83,No,No,56,74,10,NotPlaced
7.87,0,3,2,85,4.27,Yes,Yes,77,88,21,Placed
7.09,1,1,2,79,3.84,No,No,62,72,14,NotPlaced
7.59,1,3,0,81,4.47,No,No,70,68,18,NotPlaced
7.22,2,2,2,83,4.29,Yes,Yes,78,88,26,Placed
8.63,1,3,0,83,4.66,Yes,No,79,79,18,Placed
7.54,0,1,2,82,4.61,Yes,Yes,66,81,18,Placed
7.13,1,2,2,77,4.8,No,No,70,73,7,NotPlaced
7.7,1,1,2,73,4.26,No,No,72,78,8,NotPlaced
8.01,2,2,2,85,4.8,Yes,Yes,77,78,15,Placed
7.26,0,2,0,79,4.47,No,No,55,73,9,NotPlaced
8.41,2,3,3,83,4.8,Yes,No,68,75,21,Placed
7.9,1,3,3,76,4.12,No,Yes,68,64,11,NotPlaced
8.27,2,2,3,85,4.54,Yes,Yes,73,78,23,Placed
7.39,1,3,0,85,4.03,No,No,66,71,14,NotPlaced
7.59,0,1,0,85,4.54,Yes,Yes,67,76,22,Placed
8.83,1,3,1,86,4.16,Yes,Yes,84,82,29,Placed
6.82,1,2,2,80,4.73,No,Yes,71,78,9,NotPlaced
8.1,0,3,1,72,3.6,No,No,67,66,5,NotPlaced
7.34,2,1,1,78,4.68,Yes,No,76,77,23,Placed
8.02,2,3,2,84,4.42,Yes,Yes,74,76,23,Placed
7.6,1,3,0,81,4.63,No,No,65,72,10,NotPlaced
8.12,0,3,2,84,4.71,Yes,Yes,67,84,22,Placed
8.3,2,3,0,80,4.75,Yes,Yes,60,75,24,Placed
8.32,0,3,2,87,4.64,Yes,Yes,72,77,25,Placed
7.04,0,3,2,78,4.64,Yes,Yes,64,81,12,NotPlaced
8.52,1,2,1,75,4.47,No,No,67,62,12,NotPlaced
8.23,2,3,2,83,4.8,Yes,Yes,80,73,15,Placed
7.43,1,3,2,77,4.35,Yes,Yes,65,74,15,NotPlaced
7.94,1,2,2,85,4.48,Yes,Yes,70,81,19,Placed
7.4,2,1,2,78,4.16,No,Yes,68,70,4,NotPlaced
8.13,1,3,0,77,4.11,No,No,59,72,15,NotPlaced
8.39,0,2,1,80,4.09,No,No,57,70,13,NotPlaced
7.8,1,3,0,76,3.95,No,Yes,76,68,11,NotPlaced
7.51,1,2,0,81,4.3,No,Yes,61,66,17,NotPlaced
7.8,1,3,1,84,4.55,Yes,Yes,63,73,14,Placed
7.91,1,2,2,77,4.33,Yes,Yes,70,88,13,Placed
7.43,1,3,2,76,4.53,Yes,No,75,74,18,NotPlaced
6.95,2,2,2,72,3.85,No,Yes,63,63,11,NotPlaced
7.4,1,3,0,76,4.57,Yes,Yes,64,75,12,NotPlaced
7.04,2,2,0,75,4.05,Yes,No,69,73,18,NotPlaced
7.57,2,1,1,78,4.52,Yes,No,66,66,4,NotPlaced
7.68,1,1,2,78,3.67,No,No,69,68,13,NotPlaced
7.04,0,2,2,79,4.13,No,No,68,73,14,NotPlaced
7.32,1,2,0,74,4.16,No,No,66,68,14,NotPlaced
8.72,2,3,2,90,4.55,Yes,Yes,81,77,24,Placed
7.1,0,2,0,81,3.97,No,Yes,64,75,14,NotPlaced
8.18,1,2,2,76,4.21,Yes,No,59,71,14,NotPlaced
7.22,1,2,0,74,4.08,No,Yes,63,72,3,NotPlaced
7.92,1,1,2,76,4.44,No,No,74,63,23,NotPlaced
6.72,2,3,1,85,4.22,No,Yes,73,87,20,Placed
7.73,0,3,2,79,4.42,No,Yes,58,72,18,NotPlaced
7.92,2,2,0,80,3.87,No,No,59,73,5,NotPlaced
7.64,1,2,2,73,4.22,No,Yes,63,66,7,NotPlaced
6.61,0,2,2,78,3.85,Yes,No,65,69,12,NotPlaced
8.53,2,2,2,84,4.33,Yes,Yes,75,82,18,Placed
8.63,2,3,1,86,4.47,Yes,No,80,81,28,Placed
7.57,2,3,3,79,4.19,No,No,68,75,3,NotPlaced
7.56,2,3,2,86,4.27,Yes,Yes,81,80,25,Placed
8.5,1,2,2,84,4.63,Yes,Yes,85,73,27,Placed
7.62,0,3,1,87,4.46,Yes,Yes,79,74,20,Placed
7.13,0,3,0,67,3.47,No,No,67,65,7,NotPlaced
7.54,2,2,2,82,4.35,Yes,Yes,81,76,16,Placed
8.99,1,2,2,90,4.44,Yes,Yes,75,83,26,Placed
6.93,1,2,0,80,3.87,Yes,Yes,63,65,13,NotPlaced
7.27,1,3,0,73,4.06,No,Yes,66,69,11,NotPlaced
8.17,2,3,2,90,4.47,Yes,Yes,68,79,27,Placed
8.11,1,3,2,89,4.76,Yes,Yes,61,83,20,Placed
8.24,2,3,0,85,4.36,Yes,Yes,68,81,25,Placed
7.81,1,1,2,79,4.39,No,No,55,70,15,NotPlaced
8.39,1,3,2,81,4.54,Yes,Yes,77,88,22,Placed
6.93,0,2,0,71,4.07,No,No,63,71,8,NotPlaced
7.82,1,1,2,85,4.29,Yes,Yes,72,86,21,Placed
7.77,0,3,2,79,4.22,No,Yes,63,66,5,NotPlaced
8.67,1,3,2,82,4.27,Yes,Yes,69,83,21,Placed
8.22,2,3,1,84,4.61,Yes,Yes,75,81,17,Placed
7.63,0,2,2,75,4.03,No,No,58,67,15,NotPlaced
8.6,2,1,2,80,4.6,Yes,Yes,83,80,23,Placed
8.68,2,3,0,84,4.7,Yes,Yes,81,82,18,Placed
8.25,1,3,2,83,4.55,Yes,Yes,73,83,22,Placed
8.03,1,3,2,89,4.48,Yes,Yes,73,82,22,Placed
8.59,2,3,2,85,4.49,Yes,Yes,73,78,22,Placed
8.33,2,2,2,78,4.53,Yes,Yes,71,75,21,Placed
8.17,1,1,2,85,4.75,Yes,Yes,68,80,20,Placed
7.75,1,3,2,83,4.8,Yes,Yes,78,84,22,Placed
7.14,0,2,2,77,4.8,No,No,70,67,9,NotPlaced
8.04,0,3,0,80,4.2,Yes,Yes,68,78,18,Placed
7.46,0,2,2,74,3.63,No,No,63,65,16,NotPlaced
7.12,2,3,2,87,4.51,Yes,Yes,87,78,26,Placed
7.5,1,1,0,77,4.17,No,Yes,58,68,10,NotPlaced
7.64,1,1,2,80,3.89,No,Yes,58,71,18,NotPlaced
7.76,1,3,2,84,4.66,Yes,No,80,83,23,Placed
8.73,1,3,0,84,4.32,No,Yes,71,79,17,Placed
7.81,0,3,0,88,4.67,Yes,Yes,70,82,16,Placed
8.07,2,3,2,89,4.8,Yes,Yes,72,77,20,Placed
7.49,1,2,2,76,3.88,No,Yes,70,63,9,NotPlaced
8.5,0,2,1,87,4.49,Yes,Yes,69,80,18,Placed
7.96,0,1,2,90,4.26,Yes,Yes,76,69,22,Placed
7.34,0,3,1,78,4.09,No,Yes,71,60,13,NotPlaced
6.5,1,3,3,76,4.55,No,No,65,76,14,NotPlaced
8.11,2,2,2,82,4.52,Yes,Yes,77,72,26,Placed
6.79,0,2,2,78,4.28,No,No,69,74,9,NotPlaced
8.17,1,3,3,77,4.47,No,No,69,70,8,NotPlaced
7.45,1,2,3,72,4.2,No,No,62,62,18,NotPlaced
7.67,1,3,1,85,4.28,Yes,Yes,75,80,19,Placed
6.74,2,3,0,88,4.59,Yes,Yes,77,79,24,Placed
7.84,1,2,2,80,4.33,No,No,72,70,13,NotPlaced
6.77,0,2,0,78,4.2,No,Yes,68,70,9,NotPlaced
8.33,1,2,1,77,4.03,Yes,No,64,68,17,NotPlaced
7.83,1,1,0,74,4.04,No,Yes,62,66,15,NotPlaced
7.65,2,3,0,84,4.25,Yes,Yes,61,73,25,Placed
7.95,1,2,0,76,4.33,No,No,64,74,18,NotPlaced
7.72,2,3,0,75,4.53,No,Yes,57,75,8,NotPlaced
6.73,1,2,0,78,4.18,No,Yes,57,66,8,NotPlaced
7.35,2,2,3,75,4.37,No,Yes,67,73,3,NotPlaced
7.89,1,2,2,74,3.88,No,Yes,65,74,12,NotPlaced
8.44,0,2,2,87,4.8,No,Yes,71,82,19,Placed
7.54,1,2,2,77,3.89,No,No,56,73,7,NotPlaced
7.92,1,3,1,74,4.0,No,Yes,67,73,1,NotPlaced
7.85,1,1,0,82,4.35,No,Yes,67,68,11,NotPlaced
7.87,1,3,2,90,4.47,Yes,Yes,79,87,23,Placed
8.23,1,1,2,83,4.28,Yes,Yes,81,83,24,Placed
7.29,2,3,0,84,4.01,No,Yes,63,69,9,NotPlaced
7.77,2,2,1,86,4.71,Yes,Yes,71,81,19,Placed
7.87,1,3,0,72,3.9,No,Yes,55,81,11,NotPlaced
6.78,1,2,0,73,3.99,No,Yes,61,73,18,NotPlaced
8.15,2,3,0,83,4.2,Yes,Yes,82,79,25,Placed
8.03,2,3,0,90,4.8,Yes,Yes,80,81,15,Placed
7.06,1,2,2,86,3.66,No,Yes,67,80,15,NotPlaced
7.71,0,3,3,78,3.91,No,No,67,71,6,NotPlaced
8.58,2,3,2,83,4.28,Yes,Yes,80,84,14,Placed
8.58,0,3,2,81,4.4,Yes,Yes,64,81,19,Placed
7.51,1,1,1,77,3.86,No,Yes,59,72,19,NotPlaced
7.27,1,2,0,81,4.27,No,No,70,72,8,NotPlaced
7.35,0,3,2,75,4.22,No,No,69,58,6,NotPlaced
7.11,1,2,2,76,4.37,No,Yes,55,73,15,NotPlaced
8.01,0,3,1,86,4.72,No,Yes,73,75,17,Placed
7.53,1,2,2,74,4.48,No,Yes,62,79,14,NotPlaced
7.34,1,3,2,90,4.8,No,Yes,68,76,15,Placed
7.23,0,2,2,78,4.28,No,No,58,71,12,NotPlaced
8.3,0,3,2,85,3.68,No,No,65,61,8,NotPlaced
7.76,1,1,2,80,4.38,No,No,66,69,10,NotPlaced
7.39,2,2,3,68,4.1,No,No,64,73,12,NotPlaced
7.76,1,1,2,78,4.02,No,No,71,86,7,NotPlaced
6.5,0,1,2,70,3.85,No,No,55,69,12,NotPlaced
8.14,2,3,2,82,4.27,No,Yes,72,75,21,Placed
9.1,1,1,1,88,4.73,Yes,Yes,79,83,26,Placed
8.3,2,3,2,80,4.18,No,Yes,85,77,27,Placed
7.24,1,2,1,84,3.84,Yes,No,63,70,5,NotPlaced
7.84,1,3,2,84,4.55,Yes,Yes,80,81,28,Placed
6.74,1,2,0,77,4.19,No,No,65,75,8,NotPlaced
7.96,2,3,2,80,4.49,Yes,Yes,84,77,20,Placed
8.14,0,2,1,70,3.77,No,No,68,73,12,NotPlaced
7.63,1,2,2,67,4.49,No,Yes,64,71,12,NotPlaced
8.3,1,3,1,70,4.19,No,No,66,67,13,NotPlaced
8.12,1,3,0,75,3.83,No,Yes,71,71,11,NotPlaced
8.56,2,3,2,89,4.68,Yes,Yes,76,82,17,Placed
7.48,1,3,0,78,4.36,No,Yes,67,70,13,NotPlaced
7.36,1,3,2,79,4.06,No,Yes,69,72,5,NotPlaced
7.38,1,2,3,81,3.73,No,Yes,68,81,0,NotPlaced
6.98,1,1,2,75,3.93,No,No,57,79,13,NotPlaced
6.81,1,3,0,65,4.0,No,No,67,66,10,NotPlaced
9.08,2,2,2,83,4.48,Yes,Yes,65,80,13,Placed
6.88,2,2,0,79,4.34,No,No,62,70,8,NotPlaced
7.24,1,1,2,72,4.1,No,No,64,65,11,NotPlaced
7.95,1,3,1,73,4.39,No,Yes,72,73,18,NotPlaced
7.41,2,2,2,81,4.19,Yes,Yes,58,81,23,Placed
8.03,2,2,0,81,4.38,Yes,Yes,63,72,17,Placed
7.41,2,3,2,81,4.32,Yes,Yes,71,77,9,NotPlaced
8.11,0,1,0,88,4.51,Yes,No,79,84,20,Placed
8.51,2,2,2,84,4.36,Yes,Yes,67,86,23,Placed
7.5,1,0,1,84,4.37,Yes,No,70,81,25,Placed
7.8,0,3,2,79,3.88,Yes,No,68,73,15,NotPlaced
7.7,2,3,2,88,4.54,Yes,Yes,80,64,17,Placed
7.1,2,3,2,71,4.75,No,No,70,70,15,NotPlaced
7.39,1,1,2,72,4.22,No,No,57,62,12,NotPlaced
7.51,1,2,0,78,4.49,No,No,67,69,2,NotPlaced
8.12,0,3,2,76,3.95,No,No,77,60,9,NotPlaced
8.67,1,3,0,84,4.8,Yes,Yes,75,78,22,Placed
6.5,1,2,2,76,4.2,Yes,No,78,73,22,NotPlaced
8.27,1,2,2,90,4.8,Yes,Yes,66,80,21,Placed
7.17,0,3,2,66,4.44,No,No,61,68,8,NotPlaced
7.17,1,2,2,76,4.12,No,No,59,64,13,NotPlaced
7.35,1,3,0,86,4.37,Yes,Yes,71,81,17,Placed
7.69,1,1,2,69,4.26,No,Yes,65,67,14,NotPlaced
7.21,1,2,2,68,3.37,No,No,63,67,7,NotPlaced
7.93,1,3,2,84,4.23,No,Yes,81,74,19,Placed
7.85,0,1,2,78,4.22,No,No,68,64,12,NotPlaced
8.67,0,2,0,89,4.65,Yes,Yes,77,80,20,Placed
7.84,1,1,0,66,3.94,No,No,69,70,12,NotPlaced
7.99,1,3,2,81,4.58,Yes,Yes,73,77,18,Placed
8.02,1,2,2,85,4.67,No,Yes,80,78,7,Placed
8.02,1,3,0,84,4.6,Yes,Yes,73,84,21,Placed
8.04,1,3,2,80,4.27,No,Yes,59,78,20,NotPlaced
7.57,1,2,1,76,3.93,No,Yes,67,74,3,NotPlaced
8.01,1,3,1,85,4.63,Yes,Yes,82,84,19,Placed
7.62,2,2,2,76,4.26,No,No,61,68,11,NotPlaced
7.31,1,2,1,82,4.29,No,No,70,60,5,NotPlaced
8.31,1,3,1,83,4.61,Yes,Yes,81,79,18,Placed
7.52,1,1,1,80,3.75,No,No,65,64,11,NotPlaced
8.66,2,2,2,84,4.57,No,Yes,81,80,26,Placed
7.26,1,3,0,85,4.32,Yes,No,80,77,22,Placed
7.95,1,3,0,87,4.4,Yes,Yes,72,79,24,Placed
8.25,1,3,3,87,4.8,Yes,Yes,90,84,21,Placed
7.12,1,2,2,83,4.39,Yes,No,63,68,8,NotPlaced
7.62,1,1,1,78,4.03,No,No,67,65,3,NotPlaced
8.11,1,3,3,84,4.21,Yes,Yes,72,88,27,Placed
7.95,1,2,2,80,4.07,No,No,72,69,13,NotPlaced
7.49,0,3,2,82,4.46,Yes,Yes,68,85,23,Placed
8.9,2,1,2,80,4.55,Yes,Yes,71,85,14,Placed
7.42,2,1,2,73,4.18,No,No,63,75,13,NotPlaced
7.2,1,3,0,83,4.21,No,No,55,64,14,NotPlaced
7.68,1,2,2,75,3.7,No,No,69,80,4,NotPlaced
6.51,1,3,2,73,4.21,No,No,70,69,11,NotPlaced
7.46,0,2,0,66,3.61,No,Yes,69,72,14,NotPlaced
6.89,1,2,0,74,3.91,No,No,75,69,16,NotPlaced
7.5,1,3,1,74,4.2,Yes,No,69,77,20,NotPlaced
7.2,1,3,1,84,4.58,No,Yes,67,80,23,Placed
8.3,1,3,2,81,4.48,Yes,Yes,74,86,25,Placed
7.61,0,2,0,81,4.63,No,Yes,76,84,23,Placed
7.86,1,2,1,75,4.25,No,Yes,58,65,13,NotPlaced
7.58,2,2,0,86,4.8,Yes,No,72,85,18,Placed
8.88,2,2,0,79,3.84,No,Yes,62,66,15,NotPlaced
7.13,1,3,2,84,4.72,Yes,Yes,73,88,19,Placed
8.11,1,3,2,80,4.38,Yes,Yes,75,86,19,Placed
7.28,1,1,2,84,3.88,No,No,74,69,11,NotPlaced
7.87,0,3,0,82,4.43,No,No,62,72,15,NotPlaced
7.43,1,2,0,74,4.05,No,No,71,63,11,NotPlaced
8.28,0,2,0,86,4.49,No,Yes,79,73,24,Placed
7.7,2,3,2,87,4.54,Yes,No,79,81,25,Placed
7.55,0,3,1,76,4.47,No,Yes,59,62,24,NotPlaced
8.06,1,1,1,81,4.54,No,No,62,71,14,NotPlaced
8.1,1,3,0,79,4.8,Yes,Yes,80,75,16,Placed
7.52,1,2,2,80,3.93,No,No,66,75,23,NotPlaced
7.79,1,3,2,85,4.47,Yes,Yes,76,77,26,Placed
8.32,2,3,0,87,4.46,Yes,Yes,77,79,24,Placed
8.14,1,3,0,71,4.37,No,No,62,69,11,NotPlaced
7.69,1,2,2,73,3.91,No,No,73,82,8,NotPlaced
7.24,1,3,0,77,4.49,No,Yes,66,68,13,NotPlaced
7.73,1,3,2,69,4.8,No,No,72,75,15,NotPlaced
8.0,0,3,1,79,4.52,Yes,Yes,81,78,22,Placed
8.24,0,3,2,81,4.25,Yes,Yes,78,78,27,Placed
8.21,0,3,1,83,4.22,Yes,Yes,79,81,22,Placed
8.18,2,3,1,87,4.39,Yes,Yes,76,80,18,Placed
8.29,1,3,2,87,4.54,Yes,Yes,73,85,29,Placed
8.17,1,3,2,80,4.22,Yes,Yes,76,80,17,Placed
8.14,2,3,0,87,4.14,Yes,Yes,76,79,19,Placed
8.38,2,3,0,89,4.53,Yes,Yes,66,81,23,Placed
9.1,1,3,2,86,4.37,Yes,Yes,78,82,23,Placed
8.7,0,3,1,82,4.43,Yes,Yes,67,87,18,Placed
8.64,1,2,3,71,4.31,No,No,63,70,12,NotPlaced
7.3,2,3,2,89,4.28,Yes,Yes,70,88,30,Placed
8.41,2,1,0,76,3.9,No,No,73,68,9,NotPlaced
8.2,1,3,2,83,4.37,Yes,Yes,75,88,22,Placed
7.44,0,3,2,78,4.28,No,No,56,70,12,NotPlaced
8.01,2,2,2,65,4.43,No,Yes,63,75,11,NotPlaced
8.64,2,3,0,79,4.63,Yes,Yes,76,81,20,Placed
7.76,1,2,0,81,4.21,Yes,No,69,77,13,NotPlaced
7.69,0,3,0,90,4.4,Yes,No,81,82,16,Placed
8.05,2,3,2,88,4.55,Yes,Yes,67,80,25,Placed
8.1,2,3,2,88,4.51,Yes,Yes,82,81,19,Placed
7.91,1,3,0,85,4.56,Yes,Yes,76,82,20,Placed
7.73,0,2,1,72,3.73,No,No,67,67,14,NotPlaced
7.93,1,2,3,79,4.34,No,No,73,78,8,NotPlaced
8.85,1,3,1,83,4.41,Yes,Yes,79,76,25,Placed
7.38,1,3,2,82,4.29,Yes,Yes,68,80,19,Placed
8.53,1,3,2,84,4.53,Yes,Yes,61,83,21,Placed
7.72,2,3,3,72,3.7,No,No,58,65,14,NotPlaced
7.91,1,3,1,74,4.19,No,Yes,66,69,12,NotPlaced
7.94,1,3,1,71,4.8,No,No,61,75,0,NotPlaced
6.99,2,1,1,78,4.23,No,Yes,61,73,9,NotPlaced
9.1,1,3,2,87,4.15,No,Yes,77,81,29,Placed
6.5,0,3,2,69,3.99,No,Yes,67,66,5,NotPlaced
8.69,1,2,2,74,4.13,No,No,68,71,14,NotPlaced
7.94,1,3,2,84,4.26,Yes,Yes,81,88,18,Placed
7.98,1,3,0,81,4.32,No,No,79,70,9,NotPlaced
7.88,1,2,2,80,4.78,Yes,Yes,78,70,21,Placed
7.86,2,2,1,78,4.13,No,No,72,75,8,NotPlaced
8.02,0,1,3,83,4.67,Yes,Yes,70,78,21,Placed
8.05,2,3,2,86,4.53,Yes,Yes,73,71,20,Placed
7.77,0,3,2,85,4.42,Yes,Yes,77,80,24,Placed
7.67,1,2,0,82,4.12,No,No,57,61,10,NotPlaced
8.45,2,3,2,87,4.62,Yes,No,80,77,21,Placed
7.58,0,2,1,76,3.7,Yes,No,63,80,20,NotPlaced
7.07,2,3,2,83,4.45,Yes,Yes,71,83,19,Placed
6.69,0,2,1,76,4.08,No,No,66,73,5,NotPlaced
7.2,1,2,2,74,4.33,No,Yes,66,71,17,NotPlaced
7.4,1,2,1,72,3.69,No,Yes,69,71,17,NotPlaced
7.59,0,1,2,78,4.32,No,No,57,68,20,NotPlaced
8.09,0,3,2,79,4.5,Yes,Yes,74,76,24,Placed
7.43,1,1,0,81,3.94,No,Yes,65,69,7,NotPlaced
8.53,1,3,2,90,4.62,Yes,Yes,69,85,13,Placed
7.65,0,3,2,79,4.46,Yes,Yes,78,80,15,Placed
8.49,1,3,0,88,4.58,Yes,Yes,75,77,27,Placed
7.65,1,3,2,73,4.73,No,No,68,67,12,NotPlaced
7.44,2,3,2,81,4.8,Yes,Yes,76,67,28,Placed
7.76,2,2,2,81,4.61,Yes,Yes,84,82,21,Placed
7.48,1,2,1,83,4.15,No,No,68,63,12,NotPlaced
7.93,0,2,2,74,4.27,No,Yes,66,68,9,NotPlaced
7.35,1,3,0,68,4.14,No,No,70,72,10,NotPlaced
6.83,1,2,0,70,3.66,No,No,59,75,12,NotPlaced
6.97,2,3,1,80,4.59,No,No,62,77,16,NotPlaced
7.12,0,2,2,70,4.34,Yes,No,68,73,14,NotPlaced
7.74,2,3,2,81,4.67,Yes,Yes,71,85,20,Placed
8.14,0,2,2,85,4.8,Yes,Yes,79,78,26,Placed
8.12,1,3,0,76,4.59,No,Yes,66,72,10,NotPlaced
7.93,0,2,2,78,4.47,No,Yes,72,81,21,Placed
7.72,1,2,2,75,4.23,No,Yes,69,74,15,NotPlaced
7.02,1,2,2,80,4.26,No,No,73,63,7,NotPlaced
7.57,2,1,1,76,4.6,Yes,No,67,67,15,NotPlaced
7.78,2,1,1,75,4.42,No,Yes,62,69,15,NotPlaced
7.94,1,3,0,76,4.01,No,Yes,74,66,14,NotPlaced
7.55,0,3,0,74,4.36,No,No,70,68,18,NotPlaced
7.69,2,3,0,72,4.02,No,Yes,67,69,16,NotPlaced
7.62,0,3,2,88,4.48,Yes,No,71,86,26,Placed
8.13,1,3,0,88,4.8,Yes,Yes,76,78,20,Placed
7.44,1,2,0,82,4.05,Yes,No,63,67,3,NotPlaced
7.5,0,2,1,67,3.93,No,No,64,72,12,NotPlaced
7.9,2,3,0,81,4.47,Yes,Yes,73,81,26,Placed
8.25,1,3,2,86,4.58,No,Yes,76,79,22,Placed
7.16,1,2,0,73,3.93,Yes,Yes,70,74,5,NotPlaced
7.24,1,1,0,76,4.21,No,No,69,75,8,NotPlaced
7.47,1,2,2,79,4.22,No,No,60,70,11,NotPlaced
8.06,1,1,2,77,4.17,No,No,55,74,9,NotPlaced
8.16,2,1,0,87,4.53,Yes,Yes,68,77,22,Placed
7.46,0,3,0,81,4.14,Yes,No,62,82,10,NotPlaced
7.18,2,2,2,75,3.75,No,Yes,58,74,16,NotPlaced
8.79,1,3,2,85,4.75,No,Yes,68,78,28,Placed
8.34,2,3,0,89,4.13,Yes,Yes,83,77,18,Placed
8.55,0,3,2,83,4.39,Yes,Yes,75,81,24,Placed
7.8,0,1,2,82,4.48,Yes,Yes,84,78,20,Placed
7.98,0,1,0,90,4.28,Yes,Yes,68,79,17,Placed
8.34,2,3,0,86,4.8,Yes,Yes,74,80,14,Placed
8.42,1,3,2,87,4.4,Yes,Yes,73,79,29,Placed
7.98,1,1,3,76,3.98,No,No,68,62,14,NotPlaced
8.17,0,1,0,76,4.12,No,Yes,61,63,5,NotPlaced
7.95,1,3,0,87,4.8,Yes,Yes,77,79,20,Placed
8.21,1,2,2,81,4.49,No,No,76,82,23,Placed
8.1,0,3,2,88,4.48,Yes,Yes,72,79,20,Placed
7.95,0,2,1,85,4.33,No,Yes,73,79,25,Placed
7.42,1,1,2,77,4.47,No,No,69,70,15,NotPlaced
7.66,2,2,0,76,4.38,No,No,59,82,16,NotPlaced
6.5,0,2,2,86,3.5,No,No,75,66,12,NotPlaced
7.58,1,3,0,75,4.65,No,No,66,69,12,NotPlaced
7.44,1,3,1,90,4.68,Yes,Yes,63,83,22,Placed
7.88,1,1,1,82,4.53,Yes,Yes,71,75,22,Placed
7.72,0,2,0,81,3.93,No,Yes,63,67,21,NotPlaced
7.75,1,3,0,83,4.54,No,Yes,67,70,11,NotPlaced
7.42,0,3,0,80,4.35,No,No,63,78,10,NotPlaced
7.58,1,3,0,75,4.07,No,Yes,59,64,6,NotPlaced
8.25,1,2,0,90,4.41,Yes,Yes,73,84,17,Placed
7.84,1,1,1,76,3.87,No,Yes,71,65,17,NotPlaced
7.2,0,3,1,73,4.77,No,No,67,66,14,NotPlaced
7.63,2,3,0,81,4.29,Yes,Yes,76,77,16,Placed
7.57,1,3,0,78,4.72,No,No,56,64,6,NotPlaced
7.49,1,2,0,76,4.71,No,Yes,77,79,7,NotPlaced
8.15,1,2,2,84,4.4,Yes,Yes,76,80,29,Placed
7.07,1,3,0,78,3.73,No,No,65,68,14,NotPlaced
7.58,1,1,1,76,4.02,No,Yes,75,72,10,NotPlaced
7.76,2,2,0,74,3.96,No,Yes,68,67,17,NotPlaced
7.97,1,3,2,88,4.71,Yes,Yes,76,83,27,Placed
7.75,1,1,1,74,4.06,No,No,68,75,0,NotPlaced
6.64,1,3,0,75,3.89,No,No,61,72,16,NotPlaced
8.44,1,1,0,82,4.78,No,Yes,81,81,25,Placed
8.18,1,2,2,88,4.8,No,Yes,70,80,24,Placed
6.91,1,2,2,85,4.79,Yes,Yes,77,84,30,Placed
8.04,1,3,2,82,4.22,No,Yes,75,74,30,Placed
8.13,2,1,1,88,4.72,Yes,Yes,82,83,17,Placed
7.68,1,2,2,82,4.05,Yes,Yes,76,77,4,NotPlaced
6.56,1,2,0,75,4.33,No,Yes,62,73,13,NotPlaced
7.5,1,2,0,74,4.46,No,Yes,66,63,9,NotPlaced
7.94,0,3,0,67,3.73,No,Yes,68,73,7,NotPlaced
7.32,2,2,0,78,4.17,No,No,63,73,14,NotPlaced
7.1,1,3,2,80,3.58,No,Yes,71,70,12,NotPlaced
7.74,1,3,2,84,4.76,Yes,Yes,74,78,20,Placed
